No.,Occupation,P(Auto),Routineness,Complexity,Stratum
1,"Chief executives, public administrators, and legislators",0.015,0.161,0.979,5
2,Financial managers,0.069,0.744,0.961,3
3,Human resources and labour relations managers,0.006,0.355,0.913,3
4,"Managers and specialists in marketing, advert., PR",0.023,0.531,0.813,3
5,Managers in education and related fields,0.006,0.340,0.825,3
6,Managers of medicine and health occupations,0.007,0.255,0.933,3
7,Managers of properties and real estate,0.81,0.072,0.662,3
8,Funeral directors,0.2,0.018,0.572,3
9,"Managers and administrators, n.e.c.",0.25,0.151,0.908,3
10,Accountants and auditors,0.94,0.924,0.790,3
11,Insurance underwriters,0.99,0.930,0.653,3
12,Other financial specialists,0.33,0.674,0.753,3
13,Management analysts,0.13,0.261,0.910,3
14,"Personnel, HR, training, and labour rel. specialists",0.31,0.361,0.820,3
15,Purchasing agents and buyers of farm products,0.87,0.987,0.654,3
16,"Buyers, wholesale and retail trade",0.29,0.632,0.706,3
17,"Purchasing managers, agents, and buyers, n.e.c.",0.03,0.501,0.799,3
18,Business and promotion agents,0.24,0.094,0.556,3
19,Construction inspectors,0.63,0.136,0.680,3
20,"Inspectors and compliance officers, outside",0.08,0.322,0.931,3
21,Architects,0.018,0.708,0.969,3
22,Aerospace engineers,0.017,0.142,0.998,3
23,Metallurgical and materials engineers,0.021,0.282,0.996,3
24,"Petroleum, mining, and geological engineers",0.15,0.428,0.970,3
25,Chemical engineers,0.017,0.528,1.000,3
26,Civil engineers,0.019,0.106,0.996,3
27,Electrical engineers,0.1,0.082,0.941,3
28,Industrial engineers,0.029,0.185,0.965,3
29,Mechanical engineers,0.011,0.595,0.983,3
30,"Engineers and other professionals, n.e.c.",0.014,0.243,0.979,3
31,Computer systems analysts and computer scientists,0.011,0.100,0.929,3
32,Operations and systems researchers and analysts,0.035,0.112,0.956,3
33,Actuaries,0.21,0.188,0.998,3
34,Mathematicians and statisticians,0.134,0.547,0.913,3
35,Physicists and astronomists,0.071,0.659,1.000,3
36,Chemists,0.1,0.516,0.973,3
37,Atmospheric and space scientists,0.67,0.024,0.966,3
38,Geologists,0.63,0.133,0.972,3
39,"Physical scientists, n.e.c.",0.43,0.194,0.966,3
40,Agricultural and food scientists,0.053,0.231,0.971,3
41,Biological scientists,0.113,0.303,0.999,3
42,Foresters and conservation scientists,0.012,0.021,0.821,3
43,Medical scientists,0.005,0.276,0.998,3
44,Physicians,0.004,0.091,0.992,3
45,Dentists,0.004,0.109,0.943,3
46,Veterinarians,0.038,0.787,0.926,3
47,Optometrists,0.14,0.164,0.966,3
48,Podiatrists,0.005,0.449,0.966,3
49,Registered nurses,0.009,0.258,0.936,3
50,Pharmacists,0.012,0.431,0.946,3
51,Dieticians and nutritionists,0.004,0.039,0.932,3
52,Respiratory therapists,0.066,0.212,0.759,3
53,Occupational therapists,0.004,0.212,0.744,3
54,Physical therapists,0.021,0.212,0.826,3
55,Speech therapists,0.006,0.212,0.926,3
56,Physicians' assistants,0.3,0.212,0.933,2
57,Kindergarten and earlier school teachers,0.15,0.036,0.531,2
58,Primary school teachers,0.17,0.048,0.715,2
59,Secondary school teachers,0.008,0.075,0.740,2
60,Special education teachers,0.012,0.103,0.731,2
61,"Teachers, n.e.c.",0.01,0.085,0.722,2
62,Vocational and educational counselors,0.134,0.410,0.762,2
63,Librarians,0.65,0.373,0.678,2
64,Archivists and curators,0.383,0.042,0.740,2
65,"Economists, market and survey researchers",0.33,0.592,0.967,3
