job_title,salary_usd,experience_level,country,remote_type,company_size,source,matched_occupation,automation_probability,match_score,bls_matched_title,bls_mean_salary_usd,bls_match_score,bls_total_employment,ai_risk_band
Applied Data Scientist,30000.0,Entry-level,United Kingdom,Remote,Medium,dataset_A,medical scientists,0.005,65.0,data scientists,124590.0,75.67567567567568,233440.0,Low
Business Intelligence,230000.0,Executive,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence,176900.0,Executive,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Architect,171210.0,Senior,Canada,On-site,Medium,dataset_A,architects,0.018,75.0,database architects,142620.0,84.84848484848484,64770.0,Low
Data Architect,92190.0,Senior,Canada,On-site,Medium,dataset_A,architects,0.018,75.0,database architects,142620.0,84.84848484848484,64770.0,Low
Data Science,57753.0,Mid-level,United Kingdom,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Science,47850.0,Mid-level,United Kingdom,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Insight Analyst,50000.0,Entry-level,United States,Remote,Medium,dataset_A,management analysts,0.13,64.70588235294117,budget analysts,93920.0,66.66666666666667,47170.0,Low
Insight Analyst,40000.0,Entry-level,United States,Remote,Medium,dataset_A,management analysts,0.13,64.70588235294117,budget analysts,93920.0,66.66666666666667,47170.0,Low
Data Engineer,276000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,148000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Research Scientist,234000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,66.66666666666667,data scientists,124590.0,66.66666666666667,233440.0,Low
Research Scientist,146000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,66.66666666666667,data scientists,124590.0,66.66666666666667,233440.0,Low
Business Intelligence Analyst,192300.0,Entry-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence Analyst,120200.0,Entry-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Analytics Engineer,132500.0,Entry-level,United States,On-site,Medium,dataset_A,electrical engineers,0.1,68.42105263157895,electrical engineers,120980.0,68.42105263157895,188790.0,Low
Analytics Engineer,111500.0,Entry-level,United States,On-site,Medium,dataset_A,electrical engineers,0.1,68.42105263157895,electrical engineers,120980.0,68.42105263157895,188790.0,Low
Data Engineer,234000.0,Entry-level,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,146000.0,Entry-level,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Scientist,322000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,168000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,152000.0,Mid-level,Canada,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,98000.0,Mid-level,Canada,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Research Engineer,138000.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,64.86486486486487,ship engineers,105600.0,70.96774193548387,8580.0,Low
Research Engineer,86000.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,64.86486486486487,ship engineers,105600.0,70.96774193548387,8580.0,Low
Data Science,268700.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Science,130300.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
BI Developer,75000.0,Senior,United Kingdom,On-site,Medium,dataset_A,,,0.0,web developers,98790.0,69.23076923076923,78860.0,Unknown
BI Developer,50000.0,Senior,United Kingdom,On-site,Medium,dataset_A,,,0.0,web developers,98790.0,69.23076923076923,78860.0,Unknown
Data Analyst,115000.0,Senior,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,105000.0,Senior,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Scientist,100000.0,Senior,United Kingdom,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,87500.0,Senior,United Kingdom,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Business Intelligence Engineer,156476.0,Senior,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence Engineer,104981.0,Senior,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Engineer,146000.0,Mid-level,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,110000.0,Mid-level,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Scientist,297000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,138000.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Quality Engineer,190000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Quality Engineer,25000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Machine Learning Engineer,160480.0,Mid-level,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,,,0.0,,Low
Machine Learning Engineer,109920.0,Mid-level,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,,,0.0,,Low
Data Engineer,224000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,150000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Analyst,84000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,75800.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Cloud Database Engineer,146125.0,Mid-level,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Cloud Database Engineer,82000.0,Mid-level,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence,207600.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence,138400.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Analyst,94600.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,75700.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Science,331292.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Science,244868.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Scientist,190000.0,Senior,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,155000.0,Senior,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
